epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3799,3.11608,5.53531,2.37593,0.63074,0.05731,0.03257,0.01076,2.75355,6.38174,2.14033,0.0001,0.0001,0.0001
2,55.4826,2.7173,3.68877,1.99177,0.32144,0.1968,0.1183,0.02467,2.58861,7.08899,1.91325,0.000205842,0.000205842,0.000205842
3,82.6244,2.60026,3.01862,1.75618,0.05881,0.29882,0.09529,0.02523,2.46932,9.25758,1.90422,0.000307328,0.000307328,0.000307328
4,110.316,2.47852,2.81346,1.72342,0.25893,0.18863,0.10378,0.026,2.66871,13.6804,1.91875,0.000404458,0.000404458,0.000404458
5,137.653,2.4292,2.42567,1.80987,0.06117,0.22555,0.0582,0.02108,2.43477,7.20394,1.7872,0.000497232,0.000497232,0.000497232
6,165.291,2.41433,2.73427,1.65161,0.08614,0.17756,0.10532,0.04521,2.48447,10.9051,1.76678,0.00058565,0.00058565,0.00058565
7,193.776,2.36614,2.40987,1.69819,0.47232,0.13247,0.16265,0.04426,2.5615,5.20412,1.90074,0.000669712,0.000669712,0.000669712
8,221.611,2.4495,2.3887,1.75516,0.29318,0.20825,0.12532,0.04206,2.55698,4.10621,1.90201,0.000749418,0.000749418,0.000749418
9,249.155,2.37465,2.32803,1.72085,0.3784,0.16656,0.14741,0.04721,2.501,3.41479,1.90415,0.000824768,0.000824768,0.000824768
10,277.021,2.31942,2.36767,1.65758,0.3482,0.11963,0.09057,0.03356,2.61958,3.45169,1.97674,0.0008218,0.0008218,0.0008218
11,304.981,2.32713,2.25247,1.64237,0.3553,0.16425,0.1142,0.03638,2.72612,3.02365,1.93029,0.000802,0.000802,0.000802
12,333.368,2.31781,2.02343,1.61174,0.64553,0.13609,0.13664,0.03615,2.81387,3.29689,1.94455,0.0007822,0.0007822,0.0007822
13,361.512,2.16847,1.96578,1.59145,0.5026,0.13,0.14577,0.04648,2.62479,3.55392,1.80638,0.0007624,0.0007624,0.0007624
14,389.655,2.21417,1.90285,1.54157,0.64064,0.15739,0.15987,0.06093,2.52901,3.47108,1.80848,0.0007426,0.0007426,0.0007426
15,418.092,2.21737,1.81343,1.57858,0.40038,0.20147,0.17851,0.06429,2.49595,3.07496,1.80076,0.0007228,0.0007228,0.0007228
16,447.612,2.19161,1.72295,1.55052,0.35966,0.20147,0.17976,0.0627,2.54932,2.88948,1.82215,0.000703,0.000703,0.000703
17,476.581,2.16238,1.76883,1.54752,0.57333,0.1587,0.15193,0.03903,2.56355,2.94886,1.89165,0.0006832,0.0006832,0.0006832
18,506.197,2.09832,1.83248,1.59051,0.34315,0.19348,0.14251,0.03737,2.55323,2.92504,1.8871,0.0006634,0.0006634,0.0006634
19,536.244,2.04945,1.6587,1.52561,0.31873,0.20478,0.15726,0.0472,2.50093,2.88744,1.82893,0.0006436,0.0006436,0.0006436
